高等学校,,,,,,,,
,,,,,,,,令和4年4月1日現在
,神奈川県立横浜修悠館高等学校,よこはましゅうゆうかん,245-0016,横浜市泉区和泉町2563,(045)800-3711,(045)802-3773,通信単位,普通
,神奈川県立瀬谷高等学校,せや,246-0011,横浜市瀬谷区東野台29-1,(045)301-6747,(045)304-2955,全日,普通
,神奈川県立瀬谷西高等学校,せやにし,246-0004,横浜市瀬谷区中屋敷2-2-5,(045)302-3535,(045)304-2909,全日,普通
,神奈川県立川崎高等学校,かわさき,210-0845,川崎市川崎区渡田山王町22-6,(044)344-5821,(044)344-9140,"全日単位・
定時単位",普通
,神奈川県立大師高等学校,だいし,210-0827,川崎市川崎区四谷下町25-1,(044)276-1201,(044)266-5961,全日単位,普通
,神奈川県立川崎工科高等学校,かわさきこうか,211-0013,川崎市中原区上平間1700-7,(044)511-0114,(044)549-0138,全日,総合技術
,神奈川県立新城高等学校,しんじょう,211-0042,川崎市中原区下新城1-14-1,(044)766-7457,(044)752-7812,全日,普通
,神奈川県立住吉高等学校,すみよし,211-0021,川崎市中原区木月住吉町34-1,(044)433-8555,(044)433-8760,全日,普通
,神奈川県立川崎北高等学校,かわさききた,216-0003,川崎市宮前区有馬3-22-1,(044)855-2631,(044)855-7769,全日,普通
,神奈川県立多摩高等学校,たま,214-0021,川崎市多摩区宿河原5-14-1,(044)911-7107,(044)934-4650,全日,普通
,神奈川県立向の岡工業高等学校,むかいのおかこうぎょう,214-0022,川崎市多摩区堰1-28-1,(044)833-5221,(044)812-6556,"全日・
定時単位","（全日）機械・電気・建設
（定時単位）総合"
,神奈川県立生田高等学校,いくた,214-0035,川崎市多摩区長沢3-17-1,(044)977-3800,(044)976-9398,全日,普通
,神奈川県立百合丘高等学校,ゆりがおか,214-0036,川崎市多摩区南生田4-2-1,(044)977-8955,(044)976-8735,全日,普通
,神奈川県立生田東高等学校,いくたひがし,214-0038,川崎市多摩区生田4-32-1,(044)932-1211,(044)934-4648,全日,普通
,神奈川県立菅高等学校,すげ,214-0004,川崎市多摩区菅馬場4-2-1,(044)944-4141,(044)944-9190,全日,普通
,神奈川県立麻生総合高等学校,あさおそうごう,215-0023,川崎市麻生区片平1778,(044)987-1750,(044)989-6074,全日単位,総合
,神奈川県立麻生高等学校,あさお,215-0006,川崎市麻生区金程3-4-1,(044)966-7766,(044)953-9234,全日,普通
,神奈川県立相原高等学校,あいはら,252-0132,相模原市緑区橋本台4-2-1,(042)760-6131,(042)760-6140,全日,畜産科学・食品科学・環境緑地・総合ビジネス
,神奈川県立橋本高等学校,はしもと,252-0143,相模原市緑区橋本8-8-1,(042)774-0611,(042)771-1176,全日,普通
,神奈川県立相模原総合高等学校,さがみはらそうごう,252-0135,相模原市緑区大島1226,(042)761-5055,(042)763-3807,全日単位,総合
,神奈川県立城山高等学校,しろやま,252-0116,相模原市緑区城山1-26-1,(042)782-6565,(042)782-1834,全日,普通
,神奈川県立津久井高等学校,つくい,252-0159,相模原市緑区三ケ木272-1,(042)784-1053,(042)784-7960,全日・定時,"（全日）普通・福祉
（定時）普通"
,神奈川県立上溝高等学校,かみみぞ,252-0243,相模原市中央区上溝6-5-1,(042)762-0008,(042)762-5873,全日,普通
,神奈川県立相模原高等学校,さがみはら,252-0242,相模原市中央区横山1-7-20,(042)752-4133,(042)753-6348,全日,普通
,神奈川県立上溝南高等学校,かみみぞみなみ,252-0243,相模原市中央区上溝269,(042)778-1981,(042)778-4057,全日,普通
,神奈川県立相模原弥栄高等学校,さがみはらやえい,252-0229,相模原市中央区弥栄3-1-8,(042)758-4695,(042)751-6137,全日単位,普通・スポーツ科学・音楽・美術
,神奈川県立相模田名高等学校,さがみたな,252-0244,相模原市中央区田名6786-1,(042)761-3339,(042)763-3802,全日,普通
,神奈川県立神奈川総合産業高等学校,かながわそうごうさんぎょう,252-0307,相模原市南区文京1-11-1,(042)742-6111,(042)740-2851,"全日単位・
定時単位","（全日単位）総合産業
（定時単位）総合"
,神奈川県立麻溝台高等学校,あさみぞだい,252-0329,相模原市南区北里2-11-1,(042)778-2731,(042)778-4094,全日,普通
,神奈川県立上鶴間高等学校,かみつるま,252-0318,相模原市南区上鶴間本町9-31-1,(042)743-5622,(042)743-5803,全日,普通
,神奈川県立横須賀高等学校,よこすか,238-0022,横須賀市公郷町3-109,(046)851-0120,(046)851-5282,全日・定時,普通
,神奈川県立横須賀大津高等学校,よこすかおおつ,239-0808,横須賀市大津町4-17-1,(046)836-0281,(046)836-8879,全日,普通
,神奈川県立横須賀工業高等学校,よこすかこうぎょう,238-0022,横須賀市公郷町4-10,(046)851-2122,(046)851-5643,全日,機械・電気・化学・建設
,神奈川県立海洋科学高等学校,かいようかがく,240-0101,横須賀市長坂1-2-1,(046)856-3128,(046)857-6457,全日・全日単位,海洋科学・船舶運航・水産食品・無線技術・生物環境
,神奈川県立追浜高等学校,おっぱま,237-0061,横須賀市夏島町13,(046)865-4174,(046)865-9891,全日・定時,普通
,神奈川県立津久井浜高等学校,つくいはま,239-0843,横須賀市津久井4-4-1,(046)848-2121,(046)848-8939,全日,普通
,神奈川県立横須賀南高等学校,よこすかみなみ,239-0835,横須賀市佐原4-20-1,(046)834-5671,(046)834-3564,全日,普通・福祉
,神奈川県立平塚江南高等学校,ひらつかこうなん,254-0063,平塚市諏訪町5-1,(0463)31-2066,(0463)31-5363,全日,普通
,神奈川県立平塚農商高等学校,ひらつかのうしょう,254-0064,平塚市達上ケ丘10-10,(0463)31-0944,(0463)34-9384,全日,都市農業・都市環境・食品科学・農業総合・総合ビジネス
,神奈川県立平塚工科高等学校,ひらつかこうか,254-0821,平塚市黒部丘12-7,(0463)31-0417,(0463)32-6983,全日,総合技術
,神奈川県立高浜高等学校,たかはま,254-0805,平塚市高浜台8-1,(0463)21-0417,(0463)23-7138,"全日・
定時単位","（全日）普通
（定時単位）普通・総合"
,神奈川県立平塚湘風高等学校,ひらつかしょうふう,254-0013,平塚市田村3-13-1,(0463)55-1532,(0463)54-8299,全日単位,普通
,神奈川県立鎌倉高等学校,かまくら,248-0026,鎌倉市七里ガ浜2-21-1,(0467)32-4851,(0467)31-1669,全日,普通
,神奈川県立七里ガ浜高等学校,しちりがはま,248-0025,鎌倉市七里ガ浜東2-3-1,(0467)32-5457,(0467)32-7202,全日,普通
,神奈川県立大船高等学校,おおふな,247-0054,鎌倉市高野8-1,(0467)47-1811,(0467)43-4856,全日,普通
,神奈川県立深沢高等学校,ふかさわ,248-0036,鎌倉市手広6-4-1,(0467)31-6600,(0467)31-3350,全日,普通
